1.000000000000000056e-01    1.900000000000000022e-01
1.263157894736842146e-01    1.940000000000000058e-01
1.526315789473684237e-01    1.880000000000000004e-01
1.789473684210526327e-01    1.799999999999999933e-01
2.052631578947368418e-01    1.809999999999999942e-01
2.315789473684210509e-01    2.039999999999999869e-01
2.578947368421052877e-01    2.049999999999999878e-01
2.842105263157894690e-01    2.200000000000000011e-01
3.105263157894736503e-01    2.379999999999999893e-01
3.368421052631578871e-01    2.680000000000000160e-01
3.631578947368421240e-01    2.829999999999999738e-01
3.894736842105263053e-01    3.609999999999999876e-01
4.157894736842104866e-01    4.580000000000000182e-01
4.421052631578946679e-01    5.240000000000000213e-01
4.684210526315789602e-01    5.889999999999999680e-01
4.947368421052631415e-01    6.270000000000000018e-01
5.210526315789473228e-01    6.239999999999999991e-01
5.473684210526315042e-01    6.350000000000000089e-01
5.736842105263157965e-01    6.740000000000000435e-01
5.999999999999999778e-01    7.289999999999999813e-01
