# clustering	 avg length
4.774283567672030770e-01 7.583850931677018181e+00
4.772532151044580617e-01 7.466552880584501395e+00
4.771626663052315753e-01 7.301941207672433265e+00
4.772233482770705804e-01 7.490218674606026639e+00
4.767377342583986044e-01 7.329080471570589950e+00
4.766679704592959865e-01 7.198138357031638179e+00
4.762583146880700058e-01 6.907743442328421857e+00
4.755652164639798118e-01 6.554065499717674825e+00
4.749491692880152272e-01 6.478491008332905032e+00
4.721270396270422220e-01 5.807211299899046608e+00
4.715311146612825022e-01 5.777615796588128738e+00
4.681409373454850642e-01 5.322842769878342928e+00
4.644078786227564537e-01 5.062878360111561449e+00
4.601032794111322710e-01 4.863026367571822384e+00
4.501598997880000286e-01 4.491605495953321814e+00
4.353507775511914479e-01 4.174749756172681181e+00
4.161968002153955126e-01 3.936278938452852039e+00
3.936329682713980982e-01 3.737057474804510893e+00
3.537645003675629063e-01 3.513403658265318974e+00
3.080373339929123877e-01 3.346213404513799450e+00
2.435362832692077040e-01 3.176374416097735853e+00
1.675599567882020691e-01 3.033270023783857461e+00
9.181311519620397044e-02 2.911662645654740977e+00
3.621898084850329325e-02 2.843935116267132024e+00
2.110496120637998449e-02 2.828964118885067602e+00
