# #1(p) 2(cnum) 3(comp1) 4(comp2) 5(avg_csizes) 6(avg_fcsizes) 7(P)
5.140562248995984417e-04 2.340000000000000000e+02 3.117999999999999883e+00 2.540000000000000036e+00 1.145552000000002790e+00 1.104824000000004247e+00 3.093303999999998943e+00
5.461847389558233037e-04 2.330000000000000000e+02 3.200000000000000178e+00 2.624000000000000110e+00 1.156176000000003423e+00 1.113280000000000269e+00 3.171855999999999565e+00
5.783132530120481656e-04 2.320000000000000000e+02 3.279999999999999805e+00 2.700000000000000178e+00 1.166912000000001948e+00 1.121792000000001899e+00 3.264696000000001153e+00
6.104417670682731360e-04 2.310020000000000095e+02 3.346000000000000085e+00 2.766000000000000014e+00 1.177632000000003121e+00 1.130600000000001826e+00 3.330087999999999049e+00
6.425702811244979979e-04 2.300020000000000095e+02 3.415999999999999925e+00 2.834000000000000075e+00 1.188576000000003408e+00 1.139712000000000280e+00 3.402216000000001905e+00
6.746987951807228599e-04 2.290020000000000095e+02 3.528000000000000025e+00 2.903999999999999915e+00 1.200736000000003578e+00 1.148448000000001024e+00 3.527640000000001663e+00
7.068273092369478303e-04 2.280020000000000095e+02 3.609999999999999876e+00 2.966000000000000192e+00 1.212176000000005249e+00 1.157304000000000999e+00 3.607640000000000846e+00
7.389558232931726922e-04 2.270020000000000095e+02 3.689999999999999947e+00 3.041999999999999815e+00 1.224128000000002991e+00 1.166664000000000811e+00 3.697992000000000168e+00
7.710843373493975542e-04 2.260039999999999907e+02 3.782000000000000028e+00 3.113999999999999879e+00 1.236240000000004446e+00 1.175864000000003129e+00 3.779151999999999401e+00
8.032128514056225245e-04 2.250039999999999907e+02 3.882000000000000117e+00 3.161999999999999922e+00 1.249040000000001926e+00 1.185304000000001912e+00 3.881895999999998459e+00
8.353413654618473865e-04 2.240039999999999907e+02 3.955999999999999961e+00 3.205999999999999961e+00 1.261440000000002781e+00 1.195024000000001863e+00 3.962351999999999208e+00
8.674698795180722484e-04 2.230060000000000002e+02 4.011999999999999567e+00 3.255999999999999783e+00 1.273327999999999793e+00 1.204976000000004266e+00 4.009648000000001211e+00
8.995983935742972188e-04 2.220060000000000002e+02 4.123999999999999666e+00 3.295999999999999819e+00 1.286879999999999802e+00 1.214576000000002542e+00 4.122944000000001274e+00
9.317269076305220808e-04 2.210060000000000002e+02 4.235999999999999766e+00 3.346000000000000085e+00 1.300480000000001191e+00 1.224400000000003264e+00 4.238256000000003354e+00
9.638554216867469427e-04 2.200060000000000002e+02 4.299999999999999822e+00 3.426000000000000156e+00 1.313759999999999373e+00 1.235392000000002710e+00 4.293871999999999467e+00
9.959839357429718047e-04 2.190060000000000002e+02 4.395999999999999908e+00 3.487999999999999989e+00 1.327392000000001460e+00 1.245568000000001563e+00 4.398127999999999815e+00
1.028112449799196883e-03 2.180060000000000002e+02 4.480000000000000426e+00 3.553999999999999826e+00 1.341439999999999300e+00 1.256255999999999817e+00 4.475800000000002221e+00
1.060240963855421745e-03 2.170060000000000002e+02 4.556000000000000050e+00 3.620000000000000107e+00 1.355584000000001899e+00 1.267295999999999312e+00 4.561959999999999127e+00
1.092369477911646607e-03 2.160060000000000002e+02 4.637999999999999901e+00 3.669999999999999929e+00 1.369840000000001945e+00 1.278071999999998321e+00 4.647096000000001226e+00
1.124497991967871469e-03 2.150080000000000098e+02 4.732000000000000206e+00 3.729999999999999982e+00 1.385008000000001127e+00 1.288927999999998519e+00 4.747159999999997382e+00
1.156626506024096331e-03 2.140080000000000098e+02 4.820000000000000284e+00 3.775999999999999801e+00 1.399856000000001766e+00 1.300399999999997558e+00 4.841736000000000040e+00
1.188755020080321193e-03 2.130080000000000098e+02 4.908000000000000362e+00 3.831999999999999851e+00 1.415072000000002106e+00 1.311919999999998643e+00 4.928735999999999784e+00
1.220883534136546272e-03 2.120080000000000098e+02 5.027999999999999581e+00 3.906000000000000139e+00 1.432128000000004286e+00 1.323376000000000108e+00 5.061344000000000953e+00
1.253012048192771134e-03 2.110080000000000098e+02 5.118000000000000327e+00 3.974000000000000199e+00 1.448128000000002968e+00 1.335303999999998714e+00 5.148792000000005586e+00
1.285140562248995996e-03 2.100080000000000098e+02 5.219999999999999751e+00 4.056000000000000050e+00 1.464784000000002306e+00 1.347647999999999735e+00 5.250216000000000882e+00
1.317269076305220858e-03 2.090099999999999909e+02 5.333999999999999631e+00 4.128000000000000114e+00 1.481952000000003045e+00 1.359799999999999232e+00 5.355655999999999750e+00
1.349397590361445720e-03 2.080120000000000005e+02 5.467999999999999972e+00 4.168000000000000149e+00 1.499728000000000838e+00 1.371424000000000198e+00 5.488503999999997163e+00
