# clustering	 avg length
9.742143634143628217e-03 4.034893466933868744e+00
1.119971436234903223e-02 3.648243847695390674e+00
1.484728620089918738e-02 3.342549418837672981e+00
1.822187164916265825e-02 3.079004569138275915e+00
2.162515404813052100e-02 2.863298597194388950e+00
2.612758877095915089e-02 2.694118957915830670e+00
3.137118792474615642e-02 2.558674629258516742e+00
3.820918225912675603e-02 2.423046252505010489e+00
4.651880584596868734e-02 2.278000801603206504e+00
5.613177687518561276e-02 2.139823166332665672e+00
6.809448710522861270e-02 2.024040721442885715e+00
8.249494278375302247e-02 1.948071503006011840e+00
1.000836692924565174e-01 1.906037354709418929e+00
1.212531384811433577e-01 1.879189258517034000e+00
1.466054081410272658e-01 1.853381002004007794e+00
1.777076738890203123e-01 1.822277034068136237e+00
2.155939606728425328e-01 1.784497795591182490e+00
2.608535545889434371e-01 1.739135551102204191e+00
3.159345755299224345e-01 1.684025330661322872e+00
3.829095647392545265e-01 1.617040801603206734e+00
4.642225705489867460e-01 1.535777955911823645e+00
5.624024397564644229e-01 1.437579639278557142e+00
6.815541465113625907e-01 1.318458517034068134e+00
8.255142945506659391e-01 1.174489779559117819e+00
1.000000000000000000e+00 1.000000000000000000e+00
