# N	p	k	p(k)
1.000000000000000000e+02 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+02 1.000000000000000056e-01 1.000000000000000056e-01 1.499999999999999944e-02
1.000000000000000000e+02 1.000000000000000056e-01 2.000000000000000111e-01 1.799999999999999933e-01
1.000000000000000000e+02 1.000000000000000056e-01 2.999999999999999889e-01 5.949999999999999734e-01
1.000000000000000000e+02 1.000000000000000056e-01 4.000000000000000222e-01 1.625000000000000000e+00
1.000000000000000000e+02 1.000000000000000056e-01 5.000000000000000000e-01 3.685000000000000053e+00
1.000000000000000000e+02 1.000000000000000056e-01 5.999999999999999778e-01 6.275000000000000355e+00
1.000000000000000000e+02 1.000000000000000056e-01 6.999999999999999556e-01 9.484999999999999432e+00
1.000000000000000000e+02 1.000000000000000056e-01 8.000000000000000444e-01 1.194999999999999929e+01
1.000000000000000000e+02 1.000000000000000056e-01 9.000000000000000222e-01 1.305499999999999972e+01
1.000000000000000000e+02 1.000000000000000056e-01 1.000000000000000000e+00 1.309500000000000064e+01
1.000000000000000000e+02 1.000000000000000056e-01 1.100000000000000089e+00 1.190499999999999936e+01
1.000000000000000000e+02 1.000000000000000056e-01 1.199999999999999956e+00 9.310000000000000497e+00
1.000000000000000000e+02 1.000000000000000056e-01 1.300000000000000044e+00 7.230000000000000426e+00
1.000000000000000000e+02 1.000000000000000056e-01 1.399999999999999911e+00 4.905000000000000249e+00
1.000000000000000000e+02 1.000000000000000056e-01 1.500000000000000000e+00 3.029999999999999805e+00
1.000000000000000000e+02 1.000000000000000056e-01 1.600000000000000089e+00 1.610000000000000098e+00
1.000000000000000000e+02 1.000000000000000056e-01 1.699999999999999956e+00 9.649999999999999689e-01
1.000000000000000000e+02 1.000000000000000056e-01 1.800000000000000044e+00 5.849999999999999645e-01
1.000000000000000000e+02 1.000000000000000056e-01 1.899999999999999911e+00 2.600000000000000089e-01
1.000000000000000000e+02 1.000000000000000056e-01 2.000000000000000000e+00 1.849999999999999978e-01
1.000000000000000000e+02 1.000000000000000056e-01 2.100000000000000089e+00 2.999999999999999889e-02
1.000000000000000000e+02 1.000000000000000056e-01 2.200000000000000178e+00 1.000000000000000021e-02
1.000000000000000000e+02 1.000000000000000056e-01 2.299999999999999822e+00 1.499999999999999944e-02
