# #1(p) 2(cnum) 3(comp1) 4(comp2) 5(avg_csizes) 6(avg_fcsizes) 7(P)
1.166666666666666720e-02 6.110000000000000000e+02 2.363999999999999879e+00 2.060000000000000053e+00 1.046233600000004094e+00 1.036870400000004855e+00 9.380640000000002310e-01
1.250000000000000069e-02 6.100000000000000000e+02 2.407999999999999918e+00 2.076000000000000068e+00 1.049638399999998750e+00 1.039923200000007819e+00 9.565984000000002929e-01
1.333333333333333419e-02 6.090000000000000000e+02 2.458000000000000185e+00 2.101999999999999869e+00 1.053119999999993173e+00 1.042979200000006879e+00 9.770527999999993884e-01
1.416666666666666595e-02 6.080000000000000000e+02 2.516000000000000014e+00 2.121999999999999886e+00 1.056582399999990596e+00 1.045971200000004542e+00 9.977631999999998502e-01
1.499999999999999944e-02 6.070000000000000000e+02 2.568000000000000060e+00 2.148000000000000131e+00 1.060057599999991940e+00 1.049017599999998884e+00 1.016144000000000158e+00
1.583333333333333467e-02 6.060000000000000000e+02 2.616000000000000103e+00 2.180000000000000160e+00 1.063571199999998607e+00 1.052115199999995365e+00 1.035446400000000100e+00
1.666666666666666644e-02 6.050000000000000000e+02 2.657999999999999918e+00 2.212000000000000188e+00 1.067097600000005864e+00 1.055273599999993595e+00 1.051039999999999974e+00
1.750000000000000167e-02 6.040000000000000000e+02 2.696000000000000174e+00 2.245999999999999996e+00 1.070579200000003617e+00 1.058425599999992084e+00 1.066278399999999849e+00
1.833333333333333343e-02 6.030000000000000000e+02 2.724000000000000199e+00 2.282000000000000028e+00 1.074016000000000748e+00 1.061638400000001647e+00 1.080448000000000519e+00
1.916666666666666519e-02 6.020000000000000000e+02 2.762000000000000011e+00 2.318000000000000060e+00 1.077548799999998863e+00 1.064860800000008600e+00 1.091952000000000478e+00
2.000000000000000042e-02 6.010000000000000000e+02 2.807999999999999829e+00 2.359999999999999876e+00 1.081132799999997562e+00 1.068038400000005828e+00 1.113830400000000109e+00
2.083333333333333218e-02 6.000000000000000000e+02 2.843999999999999861e+00 2.407999999999999918e+00 1.084736000000000811e+00 1.071347200000003275e+00 1.130399999999999849e+00
2.166666666666666741e-02 5.990000000000000000e+02 2.887999999999999901e+00 2.442000000000000171e+00 1.088352000000005537e+00 1.074553599999998221e+00 1.148883200000000437e+00
2.249999999999999917e-02 5.980000000000000000e+02 2.915999999999999925e+00 2.486000000000000210e+00 1.091929600000007161e+00 1.077875199999994038e+00 1.159574399999999672e+00
2.333333333333333440e-02 5.970000000000000000e+02 2.947999999999999954e+00 2.525999999999999801e+00 1.095532800000003082e+00 1.081164799999991599e+00 1.171033600000000563e+00
2.416666666666666616e-02 5.960000000000000000e+02 2.983999999999999986e+00 2.561999999999999833e+00 1.099199999999999289e+00 1.084486399999995632e+00 1.181955200000000650e+00
2.500000000000000139e-02 5.950000000000000000e+02 3.021999999999999797e+00 2.613999999999999879e+00 1.102937599999995077e+00 1.087875199999999598e+00 1.198303999999999592e+00
2.583333333333333315e-02 5.940000000000000000e+02 3.057999999999999829e+00 2.649999999999999911e+00 1.106707199999994229e+00 1.091299200000002578e+00 1.212892800000000326e+00
2.666666666666666838e-02 5.930000000000000000e+02 3.076000000000000068e+00 2.692000000000000171e+00 1.110412799999995537e+00 1.094822400000001750e+00 1.221475199999999761e+00
2.750000000000000014e-02 5.920000000000000000e+02 3.101999999999999869e+00 2.725999999999999979e+00 1.114169599999999205e+00 1.098332800000000109e+00 1.233465599999999940e+00
2.833333333333333190e-02 5.910000000000000000e+02 3.117999999999999883e+00 2.766000000000000014e+00 1.117977600000000349e+00 1.101987199999999945e+00 1.240444799999999681e+00
2.916666666666666713e-02 5.900000000000000000e+02 3.156000000000000139e+00 2.782000000000000028e+00 1.121772800000000236e+00 1.105388799999998950e+00 1.256652800000000125e+00
2.999999999999999889e-02 5.890000000000000000e+02 3.189999999999999947e+00 2.814000000000000057e+00 1.125644799999999224e+00 1.108899200000001972e+00 1.272723199999999943e+00
3.083333333333333412e-02 5.880000000000000000e+02 3.213999999999999968e+00 2.847999999999999865e+00 1.129427199999999631e+00 1.112432000000004972e+00 1.284617599999999582e+00
3.166666666666666935e-02 5.870000000000000000e+02 3.225999999999999979e+00 2.874000000000000110e+00 1.133184000000001745e+00 1.116060800000004960e+00 1.290220799999999279e+00
3.250000000000000111e-02 5.860000000000000000e+02 3.255999999999999783e+00 2.891999999999999904e+00 1.136966400000004818e+00 1.119507200000002589e+00 1.302889599999998538e+00
3.333333333333333287e-02 5.850000000000000000e+02 3.282000000000000028e+00 2.923999999999999932e+00 1.140844800000005543e+00 1.123094399999998716e+00 1.311107200000000583e+00
3.416666666666666463e-02 5.840000000000000000e+02 3.306000000000000050e+00 2.946000000000000174e+00 1.144716800000003198e+00 1.126678399999996971e+00 1.318566400000000138e+00
3.500000000000000333e-02 5.830000000000000000e+02 3.331999999999999851e+00 2.955999999999999961e+00 1.148524800000001234e+00 1.130188799999996219e+00 1.329283200000000331e+00
3.583333333333333509e-02 5.820000000000000000e+02 3.363999999999999879e+00 2.975999999999999979e+00 1.152499199999998281e+00 1.133804799999997615e+00 1.343200000000000172e+00
3.666666666666666685e-02 5.810000000000000000e+02 3.386000000000000121e+00 3.001999999999999780e+00 1.156505599999997802e+00 1.137545600000000379e+00 1.354665600000000802e+00
3.749999999999999861e-02 5.800000000000000000e+02 3.403999999999999915e+00 3.017999999999999794e+00 1.160415999999996783e+00 1.141248000000000484e+00 1.361612799999999623e+00
3.833333333333333037e-02 5.790000000000000000e+02 3.422000000000000153e+00 3.040000000000000036e+00 1.164415999999998341e+00 1.145027200000000134e+00 1.368752000000000857e+00
3.916666666666666907e-02 5.780000000000000000e+02 3.450000000000000178e+00 3.044000000000000039e+00 1.168307199999998991e+00 1.148598399999999131e+00 1.378099200000000080e+00
4.000000000000000083e-02 5.770019999999999527e+02 3.490000000000000213e+00 3.061999999999999833e+00 1.172358399999998024e+00 1.152188800000000457e+00 1.390406399999999598e+00
4.083333333333333259e-02 5.760019999999999527e+02 3.521999999999999797e+00 3.077999999999999847e+00 1.176499199999998524e+00 1.155971199999998644e+00 1.403472000000000275e+00
4.166666666666666435e-02 5.750019999999999527e+02 3.557999999999999829e+00 3.096000000000000085e+00 1.180633599999999950e+00 1.159689599999998544e+00 1.418985599999999403e+00
4.250000000000000305e-02 5.740019999999999527e+02 3.592000000000000082e+00 3.121999999999999886e+00 1.184800000000001186e+00 1.163443199999999900e+00 1.431606399999999724e+00
4.333333333333333481e-02 5.730019999999999527e+02 3.620000000000000107e+00 3.137999999999999901e+00 1.188921600000001355e+00 1.167231999999999825e+00 1.446028800000000336e+00
4.416666666666666657e-02 5.720019999999999527e+02 3.649999999999999911e+00 3.161999999999999922e+00 1.193081600000001075e+00 1.171049599999998581e+00 1.459219200000000161e+00
4.499999999999999833e-02 5.710019999999999527e+02 3.673999999999999932e+00 3.168000000000000149e+00 1.197107200000000704e+00 1.174780800000000403e+00 1.471004800000000001e+00
4.583333333333333010e-02 5.700019999999999527e+02 3.717999999999999972e+00 3.176000000000000156e+00 1.201273599999999497e+00 1.178409599999999058e+00 1.494300800000000429e+00
4.666666666666666879e-02 5.690019999999999527e+02 3.755999999999999783e+00 3.197999999999999954e+00 1.205510399999999427e+00 1.182131199999999716e+00 1.509820800000000629e+00
4.750000000000000056e-02 5.680019999999999527e+02 3.790000000000000036e+00 3.220000000000000195e+00 1.209894399999998482e+00 1.186076799999999043e+00 1.523926400000000569e+00
4.833333333333333232e-02 5.670019999999999527e+02 3.810000000000000053e+00 3.245999999999999996e+00 1.214054399999999312e+00 1.189987199999999135e+00 1.530271999999998966e+00
4.916666666666666408e-02 5.660019999999999527e+02 3.863999999999999879e+00 3.270000000000000018e+00 1.218515199999999687e+00 1.193721599999999050e+00 1.555504000000000442e+00
5.000000000000000278e-02 5.650019999999999527e+02 3.907999999999999918e+00 3.290000000000000036e+00 1.222809600000000829e+00 1.197465599999999908e+00 1.568195199999999900e+00
5.083333333333333454e-02 5.640019999999999527e+02 3.923999999999999932e+00 3.306000000000000050e+00 1.226828800000000275e+00 1.201292799999999605e+00 1.577321600000000323e+00
5.166666666666666630e-02 5.630019999999999527e+02 3.947999999999999954e+00 3.327999999999999847e+00 1.231232000000001214e+00 1.205350400000000155e+00 1.589980799999999306e+00
5.249999999999999806e-02 5.620019999999999527e+02 3.982000000000000206e+00 3.347999999999999865e+00 1.235744000000001730e+00 1.209436800000000645e+00 1.604271999999999032e+00
5.333333333333333676e-02 5.610019999999999527e+02 4.006000000000000227e+00 3.371999999999999886e+00 1.240134400000001635e+00 1.213507200000000452e+00 1.616508800000000523e+00
5.416666666666666852e-02 5.600019999999999527e+02 4.040000000000000036e+00 3.390000000000000124e+00 1.244640000000001301e+00 1.217593600000000276e+00 1.632089600000000029e+00
5.500000000000000028e-02 5.590019999999999527e+02 4.070000000000000284e+00 3.410000000000000142e+00 1.249049599999999316e+00 1.221616000000000035e+00 1.643603200000000264e+00
5.583333333333333204e-02 5.580040000000000191e+02 4.107999999999999652e+00 3.438000000000000167e+00 1.253631999999998081e+00 1.225664000000000753e+00 1.660003200000000012e+00
5.666666666666666380e-02 5.570040000000000191e+02 4.150000000000000355e+00 3.459999999999999964e+00 1.258374399999997895e+00 1.229846400000000006e+00 1.672454399999999897e+00
5.750000000000000250e-02 5.560040000000000191e+02 4.184000000000000163e+00 3.500000000000000000e+00 1.262918399999998220e+00 1.233932800000000496e+00 1.683852800000001038e+00
5.833333333333333426e-02 5.550040000000000191e+02 4.222000000000000419e+00 3.529999999999999805e+00 1.267494399999999688e+00 1.238000000000000878e+00 1.695593600000001366e+00
5.916666666666666602e-02 5.540059999999999718e+02 4.250000000000000000e+00 3.561999999999999833e+00 1.272031999999999163e+00 1.242153599999999969e+00 1.704387200000000435e+00
5.999999999999999778e-02 5.530080000000000382e+02 4.288000000000000256e+00 3.601999999999999869e+00 1.276742399999999611e+00 1.246297599999998784e+00 1.719196799999999747e+00
6.083333333333333648e-02 5.520080000000000382e+02 4.328000000000000291e+00 3.637999999999999901e+00 1.281523200000002527e+00 1.250515199999999050e+00 1.737267200000000233e+00
6.166666666666666824e-02 5.510080000000000382e+02 4.360000000000000320e+00 3.669999999999999929e+00 1.286393600000000692e+00 1.254911999999997585e+00 1.750700800000000834e+00
6.250000000000000000e-02 5.500080000000000382e+02 4.386000000000000121e+00 3.697999999999999954e+00 1.291142400000001134e+00 1.259222399999999409e+00 1.760352000000000361e+00
6.333333333333333870e-02 5.490080000000000382e+02 4.416000000000000369e+00 3.716000000000000192e+00 1.295763200000001447e+00 1.263404799999999550e+00 1.767955200000000948e+00
6.416666666666666352e-02 5.480080000000000382e+02 4.445999999999999730e+00 3.740000000000000213e+00 1.300544000000000811e+00 1.267740799999999890e+00 1.780790400000000551e+00
6.500000000000000222e-02 5.470099999999999909e+02 4.483999999999999986e+00 3.778000000000000025e+00 1.305433599999999972e+00 1.272019200000001460e+00 1.795475199999999827e+00
6.583333333333332704e-02 5.460099999999999909e+02 4.503999999999999559e+00 3.791999999999999815e+00 1.310111999999998833e+00 1.276371200000001149e+00 1.804233600000000548e+00
6.666666666666666574e-02 5.450119999999999436e+02 4.530000000000000249e+00 3.838000000000000078e+00 1.315065599999998058e+00 1.280931200000001269e+00 1.816489599999999927e+00
6.750000000000000444e-02 5.440140000000000100e+02 4.564000000000000057e+00 3.863999999999999879e+00 1.319942399999997962e+00 1.285286400000000384e+00 1.830147200000000751e+00
6.833333333333332926e-02 5.430140000000000100e+02 4.594000000000000306e+00 3.882000000000000117e+00 1.324761599999997763e+00 1.289660800000000496e+00 1.843129600000000812e+00
6.916666666666666796e-02 5.420140000000000100e+02 4.628000000000000114e+00 3.903999999999999915e+00 1.329587200000000413e+00 1.293996800000000391e+00 1.855206399999999256e+00
7.000000000000000666e-02 5.410140000000000100e+02 4.645999999999999908e+00 3.926000000000000156e+00 1.334534400000001009e+00 1.298678400000000899e+00 1.865503999999998941e+00
7.083333333333333148e-02 5.400140000000000100e+02 4.677999999999999936e+00 3.946000000000000174e+00 1.339584000000000996e+00 1.303183999999998122e+00 1.878447999999999674e+00
7.166666666666667018e-02 5.390140000000000100e+02 4.714000000000000412e+00 3.978000000000000203e+00 1.344812800000001252e+00 1.307785599999998993e+00 1.890204799999999352e+00
7.249999999999999500e-02 5.380140000000000100e+02 4.732000000000000206e+00 4.016000000000000014e+00 1.349702400000001079e+00 1.312415999999999583e+00 1.896492799999998091e+00
7.333333333333333370e-02 5.370140000000000100e+02 4.785999999999999588e+00 4.038000000000000256e+00 1.355078400000000460e+00 1.316950400000000299e+00 1.917455999999999605e+00
7.416666666666667240e-02 5.360140000000000100e+02 4.822000000000000064e+00 4.065999999999999837e+00 1.360166399999999554e+00 1.321475200000000960e+00 1.937731199999999099e+00
7.499999999999999722e-02 5.350159999999999627e+02 4.862000000000000099e+00 4.097999999999999865e+00 1.365497599999998979e+00 1.326121599999999789e+00 1.951391999999999571e+00
7.583333333333333592e-02 5.340159999999999627e+02 4.894000000000000128e+00 4.112000000000000099e+00 1.370598399999999550e+00 1.330710399999998961e+00 1.964329600000000564e+00
7.666666666666666075e-02 5.330180000000000291e+02 4.929999999999999716e+00 4.137999999999999901e+00 1.375993599999999262e+00 1.335516799999998616e+00 1.977644799999999980e+00
7.749999999999999944e-02 5.320180000000000291e+02 4.958000000000000185e+00 4.163999999999999702e+00 1.381395199999999601e+00 1.340476800000001356e+00 1.988127999999999451e+00
7.833333333333333814e-02 5.310199999999999818e+02 4.975999999999999979e+00 4.185999999999999943e+00 1.386367999999998935e+00 1.345158400000001198e+00 1.994531200000000393e+00
7.916666666666666297e-02 5.300199999999999818e+02 5.030000000000000249e+00 4.222000000000000419e+00 1.392121599999998738e+00 1.349942400000000875e+00 2.014364799999998290e+00
8.000000000000000167e-02 5.290220000000000482e+02 5.067999999999999616e+00 4.250000000000000000e+00 1.397497599999999673e+00 1.354687999999999448e+00 2.030137599999998876e+00
8.083333333333332649e-02 5.280220000000000482e+02 5.096000000000000085e+00 4.282000000000000028e+00 1.403065599999999469e+00 1.359750399999999582e+00 2.037030400000000796e+00
8.166666666666666519e-02 5.270220000000000482e+02 5.118000000000000327e+00 4.307999999999999829e+00 1.408275200000000504e+00 1.364623999999998727e+00 2.042579200000000927e+00
8.250000000000000389e-02 5.260240000000000009e+02 5.142000000000000348e+00 4.323999999999999844e+00 1.413465600000001210e+00 1.369398399999999238e+00 2.056211199999999462e+00
8.333333333333332871e-02 5.250259999999999536e+02 5.155999999999999694e+00 4.339999999999999858e+00 1.418431999999999693e+00 1.374143999999999588e+00 2.059670399999999457e+00
8.416666666666666741e-02 5.240259999999999536e+02 5.182000000000000384e+00 4.355999999999999872e+00 1.423743999999999899e+00 1.379004800000000364e+00 2.068857599999998964e+00
8.500000000000000611e-02 5.230259999999999536e+02 5.206000000000000405e+00 4.362000000000000099e+00 1.428921599999999792e+00 1.383766400000000285e+00 2.077497600000000944e+00
8.583333333333333093e-02 5.220259999999999536e+02 5.233999999999999986e+00 4.387999999999999901e+00 1.434303999999998913e+00 1.388668800000000925e+00 2.085123200000001287e+00
8.666666666666666963e-02 5.210280000000000200e+02 5.269999999999999574e+00 4.413999999999999702e+00 1.440025600000000017e+00 1.393782399999999200e+00 2.097648000000002622e+00
8.749999999999999445e-02 5.200280000000000200e+02 5.293999999999999595e+00 4.451999999999999957e+00 1.445619200000001436e+00 1.398966399999999943e+00 2.107276800000001060e+00
8.833333333333333315e-02 5.190299999999999727e+02 5.309999999999999609e+00 4.483999999999999986e+00 1.451200000000000045e+00 1.404284799999999889e+00 2.114089599999999791e+00
8.916666666666667185e-02 5.180299999999999727e+02 5.331999999999999851e+00 4.517999999999999794e+00 1.456768000000001173e+00 1.409452800000000616e+00 2.126924800000001614e+00
8.999999999999999667e-02 5.170339999999999918e+02 5.370000000000000107e+00 4.551999999999999602e+00 1.462304000000000270e+00 1.414352000000000054e+00 2.143696000000002044e+00
9.083333333333333537e-02 5.160339999999999918e+02 5.397999999999999687e+00 4.583999999999999631e+00 1.468211200000000494e+00 1.419753600000000171e+00 2.156150399999998690e+00
9.166666666666666019e-02 5.150339999999999918e+02 5.434000000000000163e+00 4.599999999999999645e+00 1.473855999999999833e+00 1.424694400000000583e+00 2.168979199999997665e+00
9.249999999999999889e-02 5.140339999999999918e+02 5.469999999999999751e+00 4.621999999999999886e+00 1.479654400000001369e+00 1.429840000000000444e+00 2.186102399999999335e+00
9.333333333333333759e-02 5.130359999999999445e+02 5.509999999999999787e+00 4.639999999999999680e+00 1.485376000000001806e+00 1.434831999999998997e+00 2.203055999999999237e+00
9.416666666666666241e-02 5.120380000000000109e+02 5.562000000000000277e+00 4.674000000000000377e+00 1.491820799999999947e+00 1.440336000000000949e+00 2.225817600000001839e+00
9.500000000000000111e-02 5.110400000000000205e+02 5.605999999999999872e+00 4.701999999999999957e+00 1.497708799999999396e+00 1.445360000000001310e+00 2.247504000000000612e+00
9.583333333333333981e-02 5.100400000000000205e+02 5.628000000000000114e+00 4.733999999999999986e+00 1.503449600000000830e+00 1.450688000000000866e+00 2.258460799999999491e+00
9.666666666666666463e-02 5.090419999999999732e+02 5.687999999999999723e+00 4.774000000000000021e+00 1.509843199999999275e+00 1.455916800000000233e+00 2.278329599999999733e+00
9.750000000000000333e-02 5.080439999999999827e+02 5.716000000000000192e+00 4.804000000000000270e+00 1.515916799999999842e+00 1.461478400000000066e+00 2.289791999999998939e+00
9.833333333333332815e-02 5.070439999999999827e+02 5.748000000000000220e+00 4.839999999999999858e+00 1.521875199999999762e+00 1.466847999999999708e+00 2.299888000000001487e+00
9.916666666666666685e-02 5.060439999999999827e+02 5.785999999999999588e+00 4.863999999999999879e+00 1.527820799999999757e+00 1.472073600000000315e+00 2.316473600000000133e+00
1.000000000000000056e-01 5.050459999999999923e+02 5.812000000000000277e+00 4.889999999999999680e+00 1.533875199999999550e+00 1.477651200000000609e+00 2.328703999999998775e+00
1.008333333333333304e-01 5.040480000000000018e+02 5.852000000000000313e+00 4.911999999999999922e+00 1.540031999999997625e+00 1.482963200000000592e+00 2.344771199999998501e+00
1.016666666666666691e-01 5.030520000000000209e+02 5.881999999999999673e+00 4.932000000000000384e+00 1.546124799999997856e+00 1.488515200000000593e+00 2.359494399999999548e+00
1.024999999999999939e-01 5.020559999999999832e+02 5.905999999999999694e+00 4.956000000000000405e+00 1.552339199999999586e+00 1.494204799999998778e+00 2.366681600000000607e+00
1.033333333333333326e-01 5.010579999999999927e+02 5.945999999999999730e+00 4.993999999999999773e+00 1.559167999999999443e+00 1.500105600000000594e+00 2.380348800000000153e+00
1.041666666666666713e-01 5.000620000000000118e+02 5.974000000000000199e+00 5.019999999999999574e+00 1.565369600000000139e+00 1.505782399999999299e+00 2.394710400000001460e+00
1.049999999999999961e-01 4.990679999999999836e+02 6.019999999999999574e+00 5.038000000000000256e+00 1.571865600000000640e+00 1.511372799999999739e+00 2.409904000000000934e+00
1.058333333333333348e-01 4.980720000000000027e+02 6.089999999999999858e+00 5.073999999999999844e+00 1.579129599999999023e+00 1.516956800000000438e+00 2.438966399999999535e+00
1.066666666666666735e-01 4.970720000000000027e+02 6.121999999999999886e+00 5.102000000000000313e+00 1.585644800000000298e+00 1.522793600000001524e+00 2.452105599999999885e+00
1.074999999999999983e-01 4.960720000000000027e+02 6.169999999999999929e+00 5.142000000000000348e+00 1.592396799999999280e+00 1.528662400000000865e+00 2.470435200000000275e+00
1.083333333333333370e-01 4.950740000000000123e+02 6.187999999999999723e+00 5.182000000000000384e+00 1.599046399999998203e+00 1.534976000000000340e+00 2.476294400000001339e+00
1.091666666666666619e-01 4.940760000000000218e+02 6.211999999999999744e+00 5.208000000000000185e+00 1.605363199999999102e+00 1.540799999999999059e+00 2.487849599999999217e+00
1.100000000000000006e-01 4.930819999999999936e+02 6.248000000000000220e+00 5.227999999999999758e+00 1.611750399999999805e+00 1.546483199999999281e+00 2.501148800000001504e+00
1.108333333333333393e-01 4.920840000000000032e+02 6.274000000000000021e+00 5.269999999999999574e+00 1.618566400000000183e+00 1.552713600000000582e+00 2.513251200000001795e+00
1.116666666666666641e-01 4.910880000000000223e+02 6.293999999999999595e+00 5.306000000000000050e+00 1.625267199999998802e+00 1.558979199999999121e+00 2.521580800000000178e+00
1.125000000000000028e-01 4.900880000000000223e+02 6.341999999999999638e+00 5.352000000000000313e+00 1.632524799999999665e+00 1.565270400000000617e+00 2.540156799999998327e+00
1.133333333333333276e-01 4.890960000000000036e+02 6.384000000000000341e+00 5.389999999999999680e+00 1.639212799999999692e+00 1.571084800000000614e+00 2.556195200000000778e+00
1.141666666666666663e-01 4.881000000000000227e+02 6.421999999999999709e+00 5.416000000000000369e+00 1.646041600000001992e+00 1.576943999999999457e+00 2.570803199999999400e+00
1.150000000000000050e-01 4.871000000000000227e+02 6.437999999999999723e+00 5.437999999999999723e+00 1.652659200000001993e+00 1.583254399999998840e+00 2.577523199999999903e+00
