1.148561920245719126e+00 0.000000000000000000e+00
1.489827049031347883e+00 0.000000000000000000e+00
1.932490183507567849e+00 9.993601936962043242e-01
2.506679088543340317e+00 0.000000000000000000e+00
3.251473206210914846e+00 2.385028876656521690e-01
4.217563412495311859e+00 9.113605027928205204e-02
5.470702051132093402e+00 6.576470818594354339e-02
7.096178054748849107e+00 2.216127305727886090e-02
9.204621731186890088e+00 8.924212485161897579e-03
1.193953429022808521e+01 5.417878869067556738e-03
1.548705457221987203e+01 2.727650806215279732e-03
2.008862770461832525e+01 1.321205711345274343e-03
2.605743791841722157e+01 6.616374215544247985e-04
3.379972394610457087e+01 2.948401838156645559e-04
4.384242773252158543e+01 1.246728042746341305e-04
5.686905823687672523e+01 6.607043134665908414e-05
7.376621122534878339e+01 2.840264085211204566e-05
9.568391120312703890e+01 1.341269589204162601e-05
1.241138823730418892e+02 5.855370790519990146e-06
1.609910757620226889e+02 3.409600181680159469e-06
2.088253624772829085e+02 1.443870596292492033e-06
2.708723561685498566e+02 6.564627077242994772e-07
3.513549909163140228e+02 3.300593509263308517e-07
4.557509351932036452e+02 1.187455602084980620e-07
5.911654033653728675e+02 6.538948298078425939e-08
7.668147383789623746e+02 6.049336009984393592e-08
9.946536783915570368e+02 0.000000000000000000e+00
1.290188999274192156e+03 5.992300369005592699e-09
1.673534909698345473e+03 4.619682548379732576e-09
