# N	p	k	p(k)
5.000000000000000000e+01 1.000000000000000056e-01 0.000000000000000000e+00 2.750000000000000222e-01
5.000000000000000000e+01 1.000000000000000056e-01 2.000000000000000111e-01 1.479999999999999982e+00
5.000000000000000000e+01 1.000000000000000056e-01 4.000000000000000222e-01 4.070000000000000284e+00
5.000000000000000000e+01 1.000000000000000056e-01 5.999999999999999778e-01 7.080000000000000071e+00
5.000000000000000000e+01 1.000000000000000056e-01 8.000000000000000444e-01 9.134999999999999787e+00
5.000000000000000000e+01 1.000000000000000056e-01 1.000000000000000000e+00 9.419999999999999929e+00
5.000000000000000000e+01 1.000000000000000056e-01 1.199999999999999956e+00 7.480000000000000426e+00
5.000000000000000000e+01 1.000000000000000056e-01 1.399999999999999911e+00 5.379999999999999893e+00
5.000000000000000000e+01 1.000000000000000056e-01 1.600000000000000089e+00 3.160000000000000142e+00
5.000000000000000000e+01 1.000000000000000056e-01 1.800000000000000044e+00 1.465000000000000080e+00
5.000000000000000000e+01 1.000000000000000056e-01 2.000000000000000000e+00 6.750000000000000444e-01
5.000000000000000000e+01 1.000000000000000056e-01 2.200000000000000178e+00 2.300000000000000100e-01
5.000000000000000000e+01 1.000000000000000056e-01 2.399999999999999911e+00 1.250000000000000000e-01
5.000000000000000000e+01 1.000000000000000056e-01 2.600000000000000089e+00 2.000000000000000042e-02
5.000000000000000000e+01 1.000000000000000056e-01 2.799999999999999822e+00 0.000000000000000000e+00
5.000000000000000000e+01 1.000000000000000056e-01 3.000000000000000000e+00 5.000000000000000104e-03
