# N	p	k	p(k)
3.500000000000000000e+02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+02 5.000000000000000278e-02 2.857142857142857140e-03 0.000000000000000000e+00
3.500000000000000000e+02 5.000000000000000278e-02 5.714285714285714281e-03 0.000000000000000000e+00
3.500000000000000000e+02 5.000000000000000278e-02 8.571428571428571855e-03 0.000000000000000000e+00
3.500000000000000000e+02 5.000000000000000278e-02 1.142857142857142856e-02 2.500000000000000139e-02
3.500000000000000000e+02 5.000000000000000278e-02 1.428571428571428527e-02 1.000000000000000056e-01
3.500000000000000000e+02 5.000000000000000278e-02 1.714285714285714371e-02 2.650000000000000133e-01
3.500000000000000000e+02 5.000000000000000278e-02 2.000000000000000042e-02 7.500000000000000000e-01
3.500000000000000000e+02 5.000000000000000278e-02 2.285714285714285712e-02 1.814999999999999947e+00
3.500000000000000000e+02 5.000000000000000278e-02 2.571428571428571383e-02 3.535000000000000142e+00
3.500000000000000000e+02 5.000000000000000278e-02 2.857142857142857054e-02 6.269999999999999574e+00
3.500000000000000000e+02 5.000000000000000278e-02 3.142857142857143071e-02 9.814999999999999503e+00
3.500000000000000000e+02 5.000000000000000278e-02 3.428571428571428742e-02 1.507499999999999929e+01
3.500000000000000000e+02 5.000000000000000278e-02 3.714285714285714413e-02 2.002499999999999858e+01
3.500000000000000000e+02 5.000000000000000278e-02 4.000000000000000083e-02 2.600000000000000000e+01
3.500000000000000000e+02 5.000000000000000278e-02 4.285714285714285754e-02 3.017500000000000071e+01
3.500000000000000000e+02 5.000000000000000278e-02 4.571428571428571425e-02 3.313499999999999801e+01
3.500000000000000000e+02 5.000000000000000278e-02 4.857142857142857095e-02 3.471500000000000341e+01
3.500000000000000000e+02 5.000000000000000278e-02 5.142857142857142766e-02 3.310000000000000142e+01
3.500000000000000000e+02 5.000000000000000278e-02 5.428571428571428437e-02 3.026000000000000156e+01
3.500000000000000000e+02 5.000000000000000278e-02 5.714285714285714107e-02 2.644500000000000028e+01
3.500000000000000000e+02 5.000000000000000278e-02 5.999999999999999778e-02 2.217999999999999972e+01
3.500000000000000000e+02 5.000000000000000278e-02 6.285714285714286143e-02 1.713500000000000156e+01
3.500000000000000000e+02 5.000000000000000278e-02 6.571428571428571119e-02 1.282499999999999929e+01
3.500000000000000000e+02 5.000000000000000278e-02 6.857142857142857484e-02 9.464999999999999858e+00
3.500000000000000000e+02 5.000000000000000278e-02 7.142857142857142461e-02 6.434999999999999609e+00
3.500000000000000000e+02 5.000000000000000278e-02 7.428571428571428825e-02 4.110000000000000320e+00
3.500000000000000000e+02 5.000000000000000278e-02 7.714285714285713802e-02 2.680000000000000160e+00
3.500000000000000000e+02 5.000000000000000278e-02 8.000000000000000167e-02 1.649999999999999911e+00
3.500000000000000000e+02 5.000000000000000278e-02 8.285714285714285143e-02 9.949999999999999956e-01
3.500000000000000000e+02 5.000000000000000278e-02 8.571428571428571508e-02 4.500000000000000111e-01
3.500000000000000000e+02 5.000000000000000278e-02 8.857142857142856485e-02 2.550000000000000044e-01
3.500000000000000000e+02 5.000000000000000278e-02 9.142857142857142849e-02 1.600000000000000033e-01
3.500000000000000000e+02 5.000000000000000278e-02 9.428571428571429214e-02 5.999999999999999778e-02
3.500000000000000000e+02 5.000000000000000278e-02 9.714285714285714191e-02 5.000000000000000278e-02
3.500000000000000000e+02 5.000000000000000278e-02 1.000000000000000056e-01 3.500000000000000333e-02
3.500000000000000000e+02 5.000000000000000278e-02 1.028571428571428553e-01 0.000000000000000000e+00
3.500000000000000000e+02 5.000000000000000278e-02 1.057142857142857190e-01 1.000000000000000021e-02
