# clustering	 avg length
5.000000000000000000e-01 6.287575150300605742e+01
4.997466666666667279e-01 6.085076601202408852e+01
4.998319999999999430e-01 6.159645498998000335e+01
4.993573333333332642e-01 5.864294412825652358e+01
4.993279999999999386e-01 5.854068889779560436e+01
4.990773333333333173e-01 5.625036360721446016e+01
4.987986666666667235e-01 5.625426308617237936e+01
4.978373333333332429e-01 4.942322757515031384e+01
4.973746666666666871e-01 4.750602837675350543e+01
4.956466666666667908e-01 4.063608176352705215e+01
4.936400000000001342e-01 3.548797098196392596e+01
4.903400000000001091e-01 2.890880833667335637e+01
4.872573333333334311e-01 2.539878653306613288e+01
4.792862857142860533e-01 1.901780200400800780e+01
4.705443809523813803e-01 1.571164488977956175e+01
4.574036190476194474e-01 1.287725098196393425e+01
4.359908571428575685e-01 1.036638573146292330e+01
4.088590476190479550e-01 8.831951743486973427e+00
3.724892380952381510e-01 7.666110781563125087e+00
3.206892380952380273e-01 6.724707975951903727e+00
2.561185079365078665e-01 5.991710460921844117e+00
1.733063809523810173e-01 5.434001763527054329e+00
8.866488888888895969e-02 5.046893947895792820e+00
2.307787012987012540e-02 4.819305971943887101e+00
6.495875901875903732e-03 4.759843527054108847e+00
