# N	p	k	p(k)
5.000000000000000000e+02 1.000000000000000056e-01 6.400000000000000133e-01 5.649999999999999467e-01
5.000000000000000000e+02 1.000000000000000056e-01 6.600000000000000311e-01 1.050000000000000044e+00
5.000000000000000000e+02 1.000000000000000056e-01 6.800000000000000488e-01 1.594999999999999973e+00
5.000000000000000000e+02 1.000000000000000056e-01 6.999999999999999556e-01 2.180000000000000160e+00
5.000000000000000000e+02 1.000000000000000056e-01 7.199999999999999734e-01 3.270000000000000018e+00
5.000000000000000000e+02 1.000000000000000056e-01 7.399999999999999911e-01 4.775000000000000355e+00
5.000000000000000000e+02 1.000000000000000056e-01 7.600000000000000089e-01 6.200000000000000178e+00
5.000000000000000000e+02 1.000000000000000056e-01 7.800000000000000266e-01 8.765000000000000568e+00
5.000000000000000000e+02 1.000000000000000056e-01 8.000000000000000444e-01 1.001500000000000057e+01
5.000000000000000000e+02 1.000000000000000056e-01 8.199999999999999512e-01 1.291499999999999915e+01
5.000000000000000000e+02 1.000000000000000056e-01 8.399999999999999689e-01 1.497499999999999964e+01
5.000000000000000000e+02 1.000000000000000056e-01 8.599999999999999867e-01 1.867999999999999972e+01
5.000000000000000000e+02 1.000000000000000056e-01 8.800000000000000044e-01 2.102499999999999858e+01
5.000000000000000000e+02 1.000000000000000056e-01 9.000000000000000222e-01 2.371999999999999886e+01
5.000000000000000000e+02 1.000000000000000056e-01 9.200000000000000400e-01 2.543499999999999872e+01
5.000000000000000000e+02 1.000000000000000056e-01 9.399999999999999467e-01 2.835000000000000142e+01
5.000000000000000000e+02 1.000000000000000056e-01 9.599999999999999645e-01 2.842500000000000071e+01
5.000000000000000000e+02 1.000000000000000056e-01 9.799999999999999822e-01 2.950000000000000000e+01
5.000000000000000000e+02 1.000000000000000056e-01 1.000000000000000000e+00 2.975000000000000000e+01
5.000000000000000000e+02 1.000000000000000056e-01 1.020000000000000018e+00 2.915500000000000114e+01
5.000000000000000000e+02 1.000000000000000056e-01 1.040000000000000036e+00 2.794999999999999929e+01
5.000000000000000000e+02 1.000000000000000056e-01 1.060000000000000053e+00 2.601000000000000156e+01
5.000000000000000000e+02 1.000000000000000056e-01 1.080000000000000071e+00 2.398499999999999943e+01
5.000000000000000000e+02 1.000000000000000056e-01 1.100000000000000089e+00 2.145499999999999829e+01
5.000000000000000000e+02 1.000000000000000056e-01 1.120000000000000107e+00 1.878500000000000014e+01
5.000000000000000000e+02 1.000000000000000056e-01 1.139999999999999902e+00 1.655999999999999872e+01
5.000000000000000000e+02 1.000000000000000056e-01 1.159999999999999920e+00 1.370500000000000007e+01
5.000000000000000000e+02 1.000000000000000056e-01 1.179999999999999938e+00 1.140000000000000036e+01
5.000000000000000000e+02 1.000000000000000056e-01 1.199999999999999956e+00 9.164999999999999147e+00
5.000000000000000000e+02 1.000000000000000056e-01 1.219999999999999973e+00 7.424999999999999822e+00
5.000000000000000000e+02 1.000000000000000056e-01 1.239999999999999991e+00 5.690000000000000391e+00
5.000000000000000000e+02 1.000000000000000056e-01 1.260000000000000009e+00 4.384999999999999787e+00
5.000000000000000000e+02 1.000000000000000056e-01 1.280000000000000027e+00 3.439999999999999947e+00
5.000000000000000000e+02 1.000000000000000056e-01 1.300000000000000044e+00 2.410000000000000142e+00
5.000000000000000000e+02 1.000000000000000056e-01 1.320000000000000062e+00 1.834999999999999964e+00
5.000000000000000000e+02 1.000000000000000056e-01 1.340000000000000080e+00 1.370000000000000107e+00
5.000000000000000000e+02 1.000000000000000056e-01 1.360000000000000098e+00 9.849999999999999867e-01
5.000000000000000000e+02 1.000000000000000056e-01 1.379999999999999893e+00 7.700000000000000178e-01
5.000000000000000000e+02 1.000000000000000056e-01 1.399999999999999911e+00 4.949999999999999956e-01
5.000000000000000000e+02 1.000000000000000056e-01 1.419999999999999929e+00 2.650000000000000133e-01
5.000000000000000000e+02 1.000000000000000056e-01 1.439999999999999947e+00 2.349999999999999867e-01
5.000000000000000000e+02 1.000000000000000056e-01 1.459999999999999964e+00 1.650000000000000078e-01
5.000000000000000000e+02 1.000000000000000056e-01 1.479999999999999982e+00 9.500000000000000111e-02
5.000000000000000000e+02 1.000000000000000056e-01 1.500000000000000000e+00 5.500000000000000028e-02
5.000000000000000000e+02 1.000000000000000056e-01 1.520000000000000018e+00 2.500000000000000139e-02
5.000000000000000000e+02 1.000000000000000056e-01 1.540000000000000036e+00 2.000000000000000042e-02
5.000000000000000000e+02 1.000000000000000056e-01 1.560000000000000053e+00 1.000000000000000021e-02
5.000000000000000000e+02 1.000000000000000056e-01 1.580000000000000071e+00 1.000000000000000021e-02
5.000000000000000000e+02 1.000000000000000056e-01 1.600000000000000089e+00 5.000000000000000104e-03
5.000000000000000000e+02 1.000000000000000056e-01 1.620000000000000107e+00 0.000000000000000000e+00
5.000000000000000000e+02 1.000000000000000056e-01 1.639999999999999902e+00 0.000000000000000000e+00
5.000000000000000000e+02 1.000000000000000056e-01 1.659999999999999920e+00 0.000000000000000000e+00
5.000000000000000000e+02 1.000000000000000056e-01 1.679999999999999938e+00 5.000000000000000104e-03
