# N	p	k	p(k)
3.500000000000000000e+02 2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 2.857142857142857140e-03 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 5.714285714285714281e-03 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 8.571428571428571855e-03 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 1.142857142857142856e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 1.428571428571428527e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 1.714285714285714371e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 2.000000000000000042e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 2.285714285714285712e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 2.571428571428571383e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 2.857142857142857054e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 3.142857142857143071e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 3.428571428571428742e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 3.714285714285714413e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 4.000000000000000083e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 4.285714285714285754e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 4.571428571428571425e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 4.857142857142857095e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 5.142857142857142766e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 5.428571428571428437e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 5.714285714285714107e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 5.999999999999999778e-02 0.000000000000000000e+00
3.500000000000000000e+02 2.500000000000000000e-01 6.285714285714286143e-02 0.000000000000000000e+00
