# N	p	k	p(k)
3.500000000000000000e+02 1.000000000000000021e-02 0.000000000000000000e+00 1.051500000000000057e+01
3.500000000000000000e+02 1.000000000000000021e-02 2.857142857142857140e-03 3.647999999999999687e+01
3.500000000000000000e+02 1.000000000000000021e-02 5.714285714285714281e-03 6.558499999999999375e+01
3.500000000000000000e+02 1.000000000000000021e-02 8.571428571428571855e-03 7.620499999999999829e+01
3.500000000000000000e+02 1.000000000000000021e-02 1.142857142857142856e-02 6.621500000000000341e+01
3.500000000000000000e+02 1.000000000000000021e-02 1.428571428571428527e-02 4.610000000000000142e+01
3.500000000000000000e+02 1.000000000000000021e-02 1.714285714285714371e-02 2.682999999999999829e+01
3.500000000000000000e+02 1.000000000000000021e-02 2.000000000000000042e-02 1.291999999999999993e+01
3.500000000000000000e+02 1.000000000000000021e-02 2.285714285714285712e-02 5.679999999999999716e+00
3.500000000000000000e+02 1.000000000000000021e-02 2.571428571428571383e-02 2.359999999999999876e+00
3.500000000000000000e+02 1.000000000000000021e-02 2.857142857142857054e-02 7.900000000000000355e-01
3.500000000000000000e+02 1.000000000000000021e-02 3.142857142857143071e-02 2.200000000000000011e-01
3.500000000000000000e+02 1.000000000000000021e-02 3.428571428571428742e-02 8.000000000000000167e-02
3.500000000000000000e+02 1.000000000000000021e-02 3.714285714285714413e-02 1.499999999999999944e-02
3.500000000000000000e+02 1.000000000000000021e-02 4.000000000000000083e-02 5.000000000000000104e-03
