# t er pr apr br abr
2.800000000000000000e+01 1.645000000000000000e+03 1.945000000000000000e+03 1.174000000000000000e+03 2.000000000000000000e+00 2.900000000000000000e+01
2.900000000000000000e+01 1.667000000000000000e+03 1.978000000000000000e+03 1.199000000000000000e+03 2.000000000000000000e+00 3.000000000000000000e+01
3.000000000000000000e+01 1.693000000000000000e+03 2.016000000000000000e+03 1.218000000000000000e+03 2.000000000000000000e+00 3.100000000000000000e+01
3.100000000000000000e+01 1.711000000000000000e+03 2.040000000000000000e+03 1.231000000000000000e+03 2.000000000000000000e+00 3.200000000000000000e+01
3.200000000000000000e+01 1.735000000000000000e+03 2.083000000000000000e+03 1.251000000000000000e+03 2.000000000000000000e+00 3.300000000000000000e+01
3.300000000000000000e+01 1.751000000000000000e+03 2.133000000000000000e+03 1.265000000000000000e+03 2.000000000000000000e+00 3.400000000000000000e+01
3.400000000000000000e+01 1.776000000000000000e+03 2.156000000000000000e+03 1.278000000000000000e+03 2.000000000000000000e+00 3.500000000000000000e+01
3.500000000000000000e+01 1.795000000000000000e+03 2.190000000000000000e+03 1.295000000000000000e+03 2.000000000000000000e+00 3.600000000000000000e+01
3.600000000000000000e+01 1.813000000000000000e+03 2.217000000000000000e+03 1.315000000000000000e+03 2.000000000000000000e+00 3.700000000000000000e+01
3.700000000000000000e+01 1.839000000000000000e+03 2.255000000000000000e+03 1.333000000000000000e+03 2.000000000000000000e+00 3.800000000000000000e+01
3.800000000000000000e+01 1.859000000000000000e+03 2.303000000000000000e+03 1.347000000000000000e+03 2.000000000000000000e+00 3.900000000000000000e+01
3.900000000000000000e+01 1.889000000000000000e+03 2.342000000000000000e+03 1.364000000000000000e+03 2.000000000000000000e+00 4.000000000000000000e+01
4.000000000000000000e+01 1.908000000000000000e+03 2.382000000000000000e+03 1.379000000000000000e+03 2.000000000000000000e+00 4.100000000000000000e+01
4.100000000000000000e+01 1.930000000000000000e+03 2.413000000000000000e+03 1.392000000000000000e+03 2.000000000000000000e+00 4.200000000000000000e+01
4.200000000000000000e+01 1.951000000000000000e+03 2.444000000000000000e+03 1.404000000000000000e+03 2.000000000000000000e+00 4.300000000000000000e+01
4.300000000000000000e+01 1.987000000000000000e+03 2.478000000000000000e+03 1.413000000000000000e+03 2.000000000000000000e+00 4.400000000000000000e+01
4.400000000000000000e+01 2.014000000000000000e+03 2.524000000000000000e+03 1.425000000000000000e+03 2.000000000000000000e+00 4.500000000000000000e+01
4.500000000000000000e+01 2.038000000000000000e+03 2.568000000000000000e+03 1.433000000000000000e+03 2.000000000000000000e+00 4.600000000000000000e+01
4.600000000000000000e+01 2.066000000000000000e+03 2.609000000000000000e+03 1.454000000000000000e+03 2.000000000000000000e+00 4.700000000000000000e+01
4.700000000000000000e+01 2.089000000000000000e+03 2.661000000000000000e+03 1.465000000000000000e+03 2.000000000000000000e+00 4.800000000000000000e+01
4.800000000000000000e+01 2.124000000000000000e+03 2.701000000000000000e+03 1.471000000000000000e+03 2.000000000000000000e+00 4.900000000000000000e+01
4.900000000000000000e+01 2.145000000000000000e+03 2.757000000000000000e+03 1.475000000000000000e+03 2.000000000000000000e+00 5.000000000000000000e+01
